시도,시군구,행정동,latitude,longitude,sort,value
서울특별시,동작구,노량진1동,37.5123068,126.9420162,a.0~4세,978
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,a.0~4세,178
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,a.0~4세,"1,422"
서울특별시,동작구,상도2동,37.50546652,126.942311,a.0~4세,"1,201"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,a.0~4세,704
서울특별시,동작구,상도4동,37.50055916,126.9378048,a.0~4세,908
서울특별시,동작구,흑석동,37.50577502,126.9665908,a.0~4세,"1,145"
서울특별시,동작구,사당1동,37.48315533,126.9786716,a.0~4세,443
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,a.0~4세,952
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,a.0~4세,"1,019"
서울특별시,동작구,사당4동,37.48095899,126.9716308,a.0~4세,431
서울특별시,동작구,사당5동,37.48562502,126.9670158,a.0~4세,465
서울특별시,동작구,대방동,37.50816426,126.9263435,a.0~4세,924
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,a.0~4세,640
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,a.0~4세,664
서울특별시,동작구,노량진1동,37.5123068,126.9420162,b.5~9세,"1,080"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,b.5~9세,199
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,b.5~9세,"1,737"
서울특별시,동작구,상도2동,37.50546652,126.942311,b.5~9세,"1,188"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,b.5~9세,676
서울특별시,동작구,상도4동,37.50055916,126.9378048,b.5~9세,968
서울특별시,동작구,흑석동,37.50577502,126.9665908,b.5~9세,"1,311"
서울특별시,동작구,사당1동,37.48315533,126.9786716,b.5~9세,429
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,b.5~9세,919
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,b.5~9세,"1,202"
서울특별시,동작구,사당4동,37.48095899,126.9716308,b.5~9세,364
서울특별시,동작구,사당5동,37.48562502,126.9670158,b.5~9세,497
서울특별시,동작구,대방동,37.50816426,126.9263435,b.5~9세,"1,539"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,b.5~9세,"1,000"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,b.5~9세,856
서울특별시,동작구,노량진1동,37.5123068,126.9420162,c.10~14세,933
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,c.10~14세,222
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,c.10~14세,"1,569"
서울특별시,동작구,상도2동,37.50546652,126.942311,c.10~14세,929
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,c.10~14세,731
서울특별시,동작구,상도4동,37.50055916,126.9378048,c.10~14세,883
서울특별시,동작구,흑석동,37.50577502,126.9665908,c.10~14세,993
서울특별시,동작구,사당1동,37.48315533,126.9786716,c.10~14세,373
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,c.10~14세,785
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,c.10~14세,808
서울특별시,동작구,사당4동,37.48095899,126.9716308,c.10~14세,332
서울특별시,동작구,사당5동,37.48562502,126.9670158,c.10~14세,447
서울특별시,동작구,대방동,37.50816426,126.9263435,c.10~14세,"1,964"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,c.10~14세,"1,245"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,c.10~14세,863
서울특별시,동작구,노량진1동,37.5123068,126.9420162,d.15~19세,"1,131"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,d.15~19세,400
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,d.15~19세,"1,925"
서울특별시,동작구,상도2동,37.50546652,126.942311,d.15~19세,"1,059"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,d.15~19세,"1,038"
서울특별시,동작구,상도4동,37.50055916,126.9378048,d.15~19세,"1,128"
서울특별시,동작구,흑석동,37.50577502,126.9665908,d.15~19세,"1,250"
서울특별시,동작구,사당1동,37.48315533,126.9786716,d.15~19세,619
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,d.15~19세,953
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,d.15~19세,881
서울특별시,동작구,사당4동,37.48095899,126.9716308,d.15~19세,458
서울특별시,동작구,사당5동,37.48562502,126.9670158,d.15~19세,503
서울특별시,동작구,대방동,37.50816426,126.9263435,d.15~19세,"2,419"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,d.15~19세,"1,372"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,d.15~19세,894
서울특별시,동작구,노량진1동,37.5123068,126.9420162,e.20~24세,"2,242"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,e.20~24세,790
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,e.20~24세,"5,005"
서울특별시,동작구,상도2동,37.50546652,126.942311,e.20~24세,"1,928"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,e.20~24세,"1,708"
서울특별시,동작구,상도4동,37.50055916,126.9378048,e.20~24세,"1,891"
서울특별시,동작구,흑석동,37.50577502,126.9665908,e.20~24세,"2,531"
서울특별시,동작구,사당1동,37.48315533,126.9786716,e.20~24세,"1,785"
서울특별시,동작구,사당2동,37.488752500000004,126.9792534,e.20~24세,"1,586"
서울특별시,동작구,사당3동,37.48662464,126.97208540000001,e.20~24세,"1,463"
서울특별시,동작구,사당4동,37.48095899,126.9716308,e.20~24세,940
서울특별시,동작구,사당5동,37.48562502,126.9670158,e.20~24세,815
서울특별시,동작구,대방동,37.50816426,126.9263435,e.20~24세,"2,877"
서울특별시,동작구,신대방제1동,37.48894713,126.9100482,e.20~24세,"1,553"
서울특별시,동작구,신대방제2동,37.49840342,126.92452560000001,e.20~24세,"1,313"
서울특별시,동작구,노량진1동,37.5123068,126.9420162,f.25~29세,"3,345"
서울특별시,동작구,노량진2동,37.50850579,126.93735929999998,f.25~29세,"1,440"
서울특별시,동작구,상도1동,37.50324263,126.94974979999999,f.25~29세,"4,761"
서울특별시,동작구,상도2동,37.50546652,126.942311,f.25~29세,"2,535"
서울특별시,동작구,상도3동,37.49920407,126.93134180000001,f.25~29세,"2,566"
서울특별시,동작구,상도4동,37.50055916,126.9378048,f.25~29세,"2,705"
서울특별시,동작구,흑석동,37.50577502,126.9665908,f.25~29세,"2,667"
서울특별시,동작구,사당1동,37.48315533,126.9786716,f.25~29세,"3,485"
