시도,시군구,행정동,주소,분류,값,latitude,longitude
서울특별시,동작구,노량진2동,서울시 동작구 노량진2동,인구수,13789.0,37.5085057900649,126.937359341221
서울특별시,동작구,상도1동,서울시 동작구 상도1동,인구수,48153.0,37.50324263284,126.94974984805
서울특별시,동작구,상도2동,서울시 동작구 상도2동,인구수,29270.0,37.505466519485,126.942311042649
서울특별시,동작구,상도3동,서울시 동작구 상도3동,인구수,26041.0,37.4992040702834,126.931341762113
서울특별시,동작구,상도4동,서울시 동작구 상도4동,인구수,29893.0,37.5005591587423,126.937804771228
서울특별시,동작구,사당1동,서울시 동작구 사당1동,인구수,24026.0,37.4831553317282,126.978671564188
서울특별시,동작구,사당3동,서울시 동작구 사당3동,인구수,26034.0,37.4866246436297,126.972085412956
서울특별시,동작구,사당4동,서울시 동작구 사당4동,인구수,14921.0,37.480958993413,126.971630754658
서울특별시,동작구,사당5동,서울시 동작구 사당5동,인구수,12886.0,37.4856250199803,126.967015818218
서울특별시,동작구,대방동,서울시 동작구 대방동,인구수,40177.0,37.508164261,126.926343500008
서울특별시,동작구,신대방1동,서울시 동작구 신대방1동,인구수,26599.0,37.4889471309298,126.91004821119
서울특별시,동작구,신대방2동,서울시 동작구 신대방2동,인구수,20719.0,37.4984034227497,126.924525599335
서울특별시,동작구,흑석동,서울시 동작구 흑석동,인구수,35551.0,37.505775015354,126.966590753167
서울특별시,동작구,노량진1동,서울시 동작구 노량진1동,인구수,32563.0,37.5123068024127,126.942016221361
서울특별시,동작구,사당2동,서울시 동작구 사당2동,인구수,28290.0,37.4887524986311,126.979253427857
서울특별시,동작구,노량진2동,서울시 동작구 노량진2동,세대당 인구수,1.78,37.5085057900649,126.937359341221
서울특별시,동작구,상도1동,서울시 동작구 상도1동,세대당 인구수,2.15,37.50324263284,126.94974984805
서울특별시,동작구,상도2동,서울시 동작구 상도2동,세대당 인구수,2.25,37.505466519485,126.942311042649
서울특별시,동작구,상도3동,서울시 동작구 상도3동,세대당 인구수,2.15,37.4992040702834,126.931341762113
서울특별시,동작구,상도4동,서울시 동작구 상도4동,세대당 인구수,2.19,37.5005591587423,126.937804771228
서울특별시,동작구,사당1동,서울시 동작구 사당1동,세대당 인구수,1.78,37.4831553317282,126.978671564188
서울특별시,동작구,사당3동,서울시 동작구 사당3동,세대당 인구수,2.43,37.4866246436297,126.972085412956
서울특별시,동작구,사당4동,서울시 동작구 사당4동,세대당 인구수,2.1,37.480958993413,126.971630754658
서울특별시,동작구,사당5동,서울시 동작구 사당5동,세대당 인구수,2.25,37.4856250199803,126.967015818218
서울특별시,동작구,대방동,서울시 동작구 대방동,세대당 인구수,2.32,37.508164261,126.926343500008
서울특별시,동작구,신대방1동,서울시 동작구 신대방1동,세대당 인구수,2.41,37.4889471309298,126.91004821119
서울특별시,동작구,신대방2동,서울시 동작구 신대방2동,세대당 인구수,2.19,37.4984034227497,126.924525599335
서울특별시,동작구,흑석동,서울시 동작구 흑석동,세대당 인구수,2.29,37.505775015354,126.966590753167
서울특별시,동작구,노량진1동,서울시 동작구 노량진1동,세대당 인구수,2.13,37.5123068024127,126.942016221361
서울특별시,동작구,사당2동,서울시 동작구 사당2동,세대당 인구수,2.33,37.4887524986311,126.979253427857
