,일반시설일련번호,기준년도,시설종류,시설명,전체집행연장,전체집행면적,미집행연장,위치정보,좌표정보(X),좌표정보(Y)
0,1215383,2015,공공하수도중 간선하수관,공공하수도중 간선하수관,0,36472,0,문래동31~신대방동674,37.5131406,126.9003116
1,1125345,2015,노외주차장,주차장,0,841,0,사당동 산32-62,37.484039,126.9651143
2,1125346,2015,노외주차장,주차장,0,1012,0,대방동 395-1,37.50018041,126.9262796
3,1125347,2015,노외주차장,주차장,0,606,0,신대방동 351-14,37.49874549,126.9274675
4,1125348,2015,노외주차장,주차장,0,985,0,신대방동 607-45,37.48878109,126.9078473
5,1125349,2015,노외주차장,주차장,0,430,0,상도동 179-1,37.5044429,126.940154
6,1125350,2015,노외주차장,주차장,0,476,0,상도동 299-16,37.49535205,126.9318945
7,1125351,2015,노외주차장,주차장,0,1706,0,상도동 275,37.49678425,126.9356871
8,1125352,2015,노외주차장,주차장,0,2573,0,상도동 244-110,37.49981705,126.935381
9,1125353,2015,노외주차장,주차장,0,1323,0,사당동 1046-1,37.47739102,126.977131
10,1125354,2015,노외주차장,주차장,0,337,0,사당동 316-23,37.48182906,126.9741994
11,1125355,2015,노외주차장,주차장,0,1079,0,상도동 54,37.5031573,126.9515901
12,1125356,2015,노외주차장,주차장,0,1402,0,상도동 301-132,37.49330922,126.9336841
13,1125357,2015,노외주차장,문주차장1,0,166,0,사당동 46-3,37.4793051,126.9696895
14,1125358,2015,노외주차장,문주차장2,0,166,0,사당동 46-4,37.49328488,126.9770324
15,1125359,2015,노외주차장,주차장2개소,0,112,0,사당동 산 66,37.4829177,126.9644524
16,1184198,2015,교차점광장,광장,0,6404,0,"노량진, 본동",37.51070581,126.9403933
17,1184199,2015,교차점광장,광장,0,108000,0,동작동 86일대,37.4992101,126.9826011
18,1184200,2015,교차점광장,광장,0,16670,0,사당동584일대,37.4896031,126.9629521
19,1184201,2015,교차점광장,광장,0,10800,0,상도동370일대,37.5051869,126.9370904
20,1184202,2015,교차점광장,광장,0,144466,0,노량진320일대,37.51579347,126.9348658
21,1184203,2015,교차점광장,광장,0,3515,0,노량진역앞일대,37.5126037,126.9411846
22,1184204,2015,교차점광장,광장,0,31000,0,동작동322일대,37.50650906,126.9745266
23,1184205,2015,역전광장,광장,0,361,0,노량진동60번지일대,37.5137882,126.9403197
24,1184207,2015,근린공원,공원(상도근린),0,0,0,상도동산75번지일대,37.4935875,126.9349543
25,1184208,2015,근린공원,현충,0,0,0,동작동산30-7일대,37.50146406,126.98128
27,1184210,2015,근린공원,공원(노량진),0,222409,0,흑석동211-33,37.50660498,126.9545758
28,1184213,2015,근린공원,공원(까치산),0,0,0,사당동산32번지일대,37.487551,126.9625048
29,1184216,2015,근린공원,공원(동작주차),0,42220,0,동작동326,37.50316379,126.9780115
30,1184217,2015,근린공원,공원(삼일),0,36660,0,사당동 산24-17,37.48586042,126.9745423
31,1184230,2015,근린공원,공원(보라매),0,422317,0,신대방동395,37.4932384,126.9175228
32,1184236,2015,근린공원,"공원(노량진, 중앙)",0,14683,0,대방동44-29,37.50914973,126.9337038
33,1184237,2015,근린공원,"공원(노량진, 생태)",0,18226,0,노량진동252-3,37.51128099,126.9375561
34,1184238,2015,근린공원,공원(노들),0,1235,0,노량진동119-171,37.51088072,126.9431743
35,1184245,2015,근린공원,공원,0,0,0,흑석동58-11일대,37.50505087,126.9640924
36,1184246,2015,근린공원,공원,0,0,0,흑석동69-163일대,37.50225289,126.963815
37,1184211,2015,어린이공원,공원(햇님),0,876,0,상도동424,37.49742378,126.9586559
38,1184212,2015,어린이공원,공원(토끼),0,824,0,사당1동1000-13,37.4781005,126.9680418
39,1184214,2015,어린이공원,공원(참새),0,2950,0,대방동414-29,37.49820084,126.9219669
40,1184215,2015,어린이공원,공원(제비),0,1814,0,대방동362-11,37.50643369,126.9258873
41,1184218,2015,어린이공원,공원(은하수),0,4503,0,신대방1동492-222,37.49407403,126.9126791
42,1184219,2015,어린이공원,공원(양지),0,568,0,사당1동316-37,37.47988509,126.9740178
43,1184220,2015,어린이공원,공원(샛별),0,344,0,사당5동204-16,37.4873443,126.9632957
44,1184221,2015,어린이공원,공원(새싹),0,780,0,사당4동316-33,37.4799641,126.9731582
45,1184222,2015,어린이공원,공원(새벽),0,496,0,상도3동335-141,37.50072448,126.9302005
46,1184223,2015,어린이공원,공원(상도4),0,304,0,상도동 264-156일대,37.49771352,126.936304
47,1184224,2015,어린이공원,공원(상도),0,1500,0,상도동172-23,37.5037122,126.9396311
48,1184225,2015,어린이공원,공원(상도),0,1514,0,상도동 24-55일대,37.5067787,126.9424867
49,1184226,2015,어린이공원,공원(산새),0,813,0,흑석2동293-4,37.50405907,126.9679512
50,1184227,2015,어린이공원,공원(비둘기),0,0,0,상도동 558,36.00385894,129.3466607
52,1184231,2015,어린이공원,공원(별님),0,259,0,상도4동211-415,37.49893189,126.9449665
53,1184232,2015,어린이공원,공원(무궁화),0,0,0,상도동 477,37.49847559,126.9523488
54,1184233,2015,어린이공원,공원(동산),0,594,0,사당4동300-54,37.47950313,126.9697632
55,1184234,2015,어린이공원,공원(늘푸른),0,1503,0,사당5동산32-76,37.48239305,126.9691708
56,1184235,2015,어린이공원,공원(노루),0,337,0,사당4동316-23,37.48182906,126.9741994
57,1184239,2015,어린이공원,공원(꿈돌이),0,761,0,사당4동300-26,37.48033887,126.9699838
58,1184240,2015,어린이공원,공원(까치),0,1604,0,사당1동1028-1,37.48048863,126.9797724
59,1184241,2015,어린이공원,공원 (반달),0,185,0,사당동233-12,37.48351007,126.9679477
60,1184242,2015,어린이공원,공원 (꿈동산),0,531,0,상도동55-170,37.5031401,126.9519907
61,1184243,2015,어린이공원,공원,0,2390,0,사당동171-173번지 일대,37.4885018,126.9721337
62,1184244,2015,어린이공원,공원,0,1610,0,사당동41번지 일대,37.49145534,126.9808195
63,1184247,2015,어린이공원,공원,0,851,0,상도동54-15,37.503921,126.9517502
64,1184248,2015,어린이공원,공원,0,1043,0,노량진동221-31일대,37.5090054,126.9422065
65,1184249,2015,어린이공원,공원,0,2654,0,동작동58-10일대,37.4937298,126.9779777
66,1184250,2015,어린이공원,공원,0,0,0,상도동36-1일대,37.5052719,126.9459914
67,1184251,2015,어린이공원,공원,0,2164,0,흑석동54-28일대,37.506638,126.9618125
68,1184252,2015,어린이공원,공원,0,0,0,흑석동173-15,37.50988512,126.9596367
69,1184253,2015,묘지공원,공원(현충묘지),0,0,0,상도동7-137번지일대,37.5047569,126.9513156
70,1127034,2015,배수시설,수도공급설비,2000,7038,0,상도동 산75-1일대,37.49321735,126.9384067
71,1127035,2015,배수시설,수도공급설비,277,277,0,상도동274-19,37.49696327,126.9346905
72,1127036,2015,배수시설,수도공급설비,592,592,0,상도동274-19,37.49696327,126.9346905
73,1127037,2015,배수시설,수도공급설비,30000,19935,0,동작구 본동126-311일대,37.5093844,126.952701
