No,개방서비스명,소재지전체주소,도로명전체주소,사업장명,좌표정보(X),좌표정보(Y),지번주소,도로명주소
1,청소년게임제공업,서울특별시 동작구 대방동 336-5번지 지하1층 ,"서울특별시 동작구 상도로 84  (대방동,지하1층)",게임랜드,37.49952178,126.9299824,서울특별시 동작구 대방동 336-5,서울특별시 동작구 상도로 84
2,청소년게임제공업,서울특별시 동작구 상도동 188-4번지 1층 ,,삼미컴퓨터게임장,37.50293565,126.9362789,서울특별시 동작구 상도동 188-4,서울특별시 동작구 상도로 152
3,청소년게임제공업,서울특별시 동작구 사당동 168-62번지 지하1층 ,"서울특별시 동작구 사당로23길 130  (사당동,지하1층)",우주오락실,37.48843978,126.9727149,서울특별시 동작구 사당동 1159-2,서울특별시 동작구 사당로17길 52
4,청소년게임제공업,서울특별시 동작구 노량진동 126-14번지 1층 ,"서울특별시 동작구 만양로18길 14  (노량진동,1층)",정인오락실,37.51308653,126.9450222,서울특별시 동작구 노량진동 126-14,서울특별시 동작구 만양로18길 14
5,청소년게임제공업,서울특별시 동작구 상도동 184-173번지 효성목욕탕 ,"서울특별시 동작구 상도로 154-1, 효성목욕탕 지층 (상도동)",상도게임랜드,37.50307473,126.9367252,서울특별시 동작구 상도동 184-173,서울특별시 동작구 상도로 154-1
6,청소년게임제공업,서울특별시 동작구 상도동 323-4번지 외 12필지 지상2층 ,"서울특별시 동작구 국사봉1길 18  (상도동,외 12필지 지상2층)",성대컴퓨터게임,37.49883035,126.9296866,서울특별시 동작구 상도동 323-4,서울특별시 동작구 국사봉1길 24
7,청소년게임제공업,서울특별시 동작구 상도동 324-2번지 지하1층 ,"서울특별시 동작구 상도로 88  (상도동,지하1층)",게임랜드,37.49957339,126.9305657,서울특별시 동작구 상도동 324-2,서울특별시 동작구 상도로 88
8,청소년게임제공업,서울특별시 동작구 상도동 315-22번지 지하1층 ,"서울특별시 동작구 성대로2길 7  (상도동,지하1층)",상도전자오락실,37.4993272,126.9317345,서울특별시 동작구 상도동 315-22,서울특별시 동작구 성대로2길 7
9,청소년게임제공업,서울특별시 동작구 신대방동 345-3번지 ,"서울특별시 동작구 보라매로 93, 1층 (신대방동, 석양교회)",더뽑장,37.4977037,126.9276953,서울특별시 동작구 신대방동 345-3,서울특별시 동작구 보라매로 93
10,청소년게임제공업,서울특별시 동작구 상도동 314-16번지 지하1층 ,"서울특별시 동작구 성대로 18  (상도동,지하1층)",로얄게임장,37.49961965,126.932504,서울특별시 동작구 상도동 314-16,서울특별시 동작구 성대로 18
