No,표준ID,ARS-ID,정류장명,X좌표,Y좌표,비고,지번주소,도로명주소
1,100000001,01001,종로2가사거리,126.9877498816,37.5697651251,,서울특별시 종로구 종로2가 84-11,서울특별시 종로구 종로2가 삼일대로 396
2,100000002,01002,창경궁.서울대학교병원,126.9965660023,37.5791830159,,서울특별시 종로구 연건동 28-19,서울특별시 종로구 대학로 101
3,100000003,01003,명륜3가.성대입구,126.9983401004,37.5826711749,,서울특별시 종로구 명륜4가 196-2,서울특별시 종로구 명륜4가 창경궁로 233
4,100000004,01004,종로2가.삼일교,126.9876130976,37.5685792736,,서울특별시 종로구 관철동 13-14,서울특별시 종로구 삼일대로15길 1
5,100000005,01005,혜화동로터리.여운형활동터,127.001744,37.586243,,서울특별시 종로구 혜화동 56,서울특별시 종로구 창경궁로 283
6,101000305,01006,서대문역사거리,126.966893,37.566137,,서울특별시 종로구 평동 210,서울특별시 종로구 통일로 126
7,100000380,01007,서울역사박물관.경희궁앞,126.97038,37.569135,,서울특별시 종로구 신문로2가 15,서울특별시 종로구 신문로2가 새문안로 50
8,100000379,01008,서울역사박물관.경희궁앞,126.970609,37.569412,,서울특별시 종로구 신문로2가 1-33,서울특별시 종로구 신문로2가 새문안로 56-1
9,100000384,01009,광화문,126.9752507511,37.570135474,,서울특별시 종로구 신문로1가 120,서울특별시 종로구 신문로1가 새문안로 96
10,100000385,01010,광화문,126.978085488,37.570216807,,서울특별시 종로구 종로1가 1-3,서울특별시 종로구 종로 6
11,100000386,01011,종로1가,126.9809105247,37.5701184824,,서울특별시 종로구 종로1가 54,서울특별시 종로구 종로 30-1
12,100000387,01012,종로1가,126.9813906402,37.5702290311,,서울특별시 종로구 종로1가 54,서울특별시 종로구 종로1가 종로 35-2
13,100000388,01013,종로2가,126.9855426998,37.5701386788,,서울특별시 종로구 종로2가 1-2,서울특별시 종로구 종로2가 종로 73
14,100000389,01014,종로2가,126.9862474502,37.5702571998,,서울특별시 종로구 종로2가 1-2,서울특별시 종로구 종로2가 종로 77-2
15,100000390,01015,종로3가.탑골공원,126.9895646721,37.5702449756,,서울특별시 종로구 종로3가 10-5,서울특별시 종로구 종로3가 종로 108
16,100000391,01016,종로3가.탑골공원,126.9899877751,37.5703605443,,서울특별시 종로구 종로3가 10-5,서울특별시 종로구 종로3가 종로 111-4
17,100000392,01017,종로4가.종묘,126.9947218896,37.5705069968,,서울특별시 종로구 종로3가 45-4,서울특별시 종로구 종로3가 종로 154
18,100000393,01018,종로4가.종묘,126.9952838124,37.5706271118,,서울특별시 종로구 종로4가 32-8,서울특별시 종로구 종로4가 종로 160-3
19,100000394,01019,종로5가.광장시장,126.9988498093,37.570756793,,서울특별시 종로구 종로4가 183,서울특별시 종로구 종로4가 종로 190
20,100000395,01020,종로5가.광장시장,126.9993346185,37.5708806279,,서울특별시 종로구 종로4가 183,서울특별시 종로구 종로4가 종로 193-2
21,100000396,01021,종로6가.동대문종합시장,127.0034638793,37.5709624756,,서울특별시 종로구 종로5가 82-1,서울특별시 종로구 종로5가 종로 230-2
22,100000397,01022,종로6가.동대문종합시장,127.0057137364,37.5711272339,,서울특별시 종로구 종로5가 11-2,서울특별시 종로구 종로5가 종로 251
23,100000398,01023,동대문역.흥인지문,127.0134512388,37.5723023219,,서울특별시 종로구 창신동 204-8,서울특별시 종로구 종로 322
24,100000365,01037,동대문(흥인지문),127.0120461121,37.5719529259,,서울특별시 종로구 창신동 507-2,서울특별시 종로구 종로 312-2
25,100000366,01041,동묘앞,127.0184514373,37.5737255179,,서울특별시 종로구 숭인동 151-4,서울특별시 종로구 종로 370
26,100000367,01044,동묘앞,127.0196720085,37.5742434484,,서울특별시 종로구 숭인동 172-6,서울특별시 종로구 종로 379
27,100000006,01101,경기상고,126.9693634554,37.5875502159,,서울특별시 종로구 청운동 38-5,서울특별시 종로구 자하문로 131
28,100000007,01102,신교동,126.9702626865,37.5832955233,,서울특별시 종로구 효자동 8,서울특별시 종로구 자하문로 81
29,100000008,01103,경기상고,126.9697701102,37.5871907861,,서울특별시 종로구 청운동 89-9,서울특별시 종로구 자하문로 124
30,100000009,01104,경복고교,126.9710436571,37.585113193,,서울특별시 종로구 청운동 100-6,서울특별시 종로구 자하문로30길 24
31,100000010,01105,청운중학교,126.9725135095,37.5878519552,,서울특별시 종로구 청운동 89-9,서울특별시 종로구 자하문로28가길 9
32,100000011,01106,자하문고개.윤동주문학관,126.9671261805,37.5921866176,,서울특별시 종로구 청운동 3-148,서울특별시 종로구 창의문로 119
33,100000012,01107,자하문고개.윤동주문학관,126.9671906625,37.5923353152,,서울특별시 종로구 청운동 산 1-1,서울특별시 종로구 창의문로 119
34,100000013,01108,청운중학교,126.9724613198,37.5881285775,,서울특별시 종로구 청운동 89-8,서울특별시 종로구 자하문로28가길 9
35,100000014,01109,경복고교,126.9711546793,37.5849663426,,서울특별시 종로구 궁정동 4-11,서울특별시 종로구 자하문로28길 8
36,100000015,01110,통인시장종로구보건소,126.9710500404,37.5803257033,,서울특별시 종로구 통인동 112-1,서울특별시 종로구 자하문로 47-2
37,100000016,01111,통인시장종로구보건소,126.9713851083,37.5805132118,,서울특별시 종로구 창성동 98-6,서울특별시 종로구 자하문로 50-1
38,100000017,01112,효자동,126.9706209712,37.583091043,,서울특별시 종로구 효자동 68-1,서울특별시 종로구 자하문로24길 18-1
39,100000018,01113,사직단.어린이도서관,126.9679907155,37.5751355316,,서울특별시 종로구 사직동 1-38,서울특별시 종로구 사직로 89
40,100000019,01114,사직동주민센터,126.9713244962,37.5761834563,,서울특별시 종로구 내자동 1-1,서울특별시 종로구 사직로 113
41,100000020,01115,경복궁역,126.97219601,37.5768666917,,서울특별시 종로구 체부동 48,서울특별시 종로구 자하문로 9
42,100000021,01116,경복궁역,126.9722828893,37.5776713863,,서울특별시 종로구 통의동 64,서울특별시 종로구 자하문로 18
43,100000022,01117,경복궁,126.9787471496,37.5755767894,,서울특별시 종로구 중학동 109-1,서울특별시 종로구 종로1길 55-1
44,100000023,01118,KT광화문지사,126.9773193291,37.5724064843,,서울특별시 종로구 세종로 84-8,서울특별시 종로구 세종로 세종대로 178
45,100000025,01120,광화문,126.9763838838,37.569845398,,서울특별시 종로구 세종로 211,서울특별시 종로구 신문로1가 새문안로 102-2
46,100000028,01123,서울역사박물관.경교장.강북삼성병원,126.971248,37.570023,,서울특별시 종로구 신문로2가 1-15,서울특별시 종로구 신문로2가 새문안로 55
47,100000029,01124,광화문.금호아시아나본관앞,126.9731335513,37.5702880403,,서울특별시 종로구 신문로1가 5-4,서울특별시 종로구 신문로1가 새문안로 75
48,100000030,01125,광화문,126.975837,37.570365,,서울특별시 종로구 신문로1가 5-4,서울특별시 종로구 신문로1가 새문안로 101-2
49,100000031,01126,세종문화회관,126.9765652658,37.5726577416,,서울특별시 종로구 세종로 81-14,서울특별시 종로구 세종로 세종대로 175
50,100000032,01127,서울지방경찰청.경복궁역,126.9714842989,37.5757446636,,서울특별시 종로구 내자동 114-3,서울특별시 종로구 사직로12길 1-5
51,100000033,01128,사직단,126.968188961,37.5748553458,,서울특별시 종로구 사직동 9-3,서울특별시 종로구 사직로8길 4
52,100000034,01129,광화문광화문빌딩,126.9765458935,37.569450752,,서울특별시 종로구 세종로 215,서울특별시 종로구 세종로 세종대로 147-2
53,100000035,01130,덕성여중고,126.9820170203,37.5759017489,,서울특별시 종로구 송현동 48-9,서울특별시 종로구 율곡로 22
54,100000036,01131,안국역.종로경찰서.인사동,126.9839957858,37.5760695565,,서울특별시 종로구 안국동 175-3,서울특별시 종로구 율곡로 39
55,100000037,01132,국민은행세검정지점,126.9608880061,37.6046629766,,서울특별시 종로구 신영동 241-7,서울특별시 종로구 진흥로 490-1
56,100000038,01133,세검정초등학교,126.9612198463,37.6025022799,,서울특별시 종로구 신영동 124-1,서울특별시 종로구 세검정로7길 14-2
57,100000039,01134,세검정.상명대,126.9587223861,37.6007325989,,서울특별시 종로구 홍지동 72-7,서울특별시 종로구 세검정로 236-1
58,100000040,01135,상명대입구.석파랑,126.958570225,37.5994133537,,서울특별시 종로구 홍지동 125,서울특별시 종로구 자하문로 309
59,100000041,01136,하림각,126.9617068235,37.5981330665,,서울특별시 종로구 부암동 190-1,서울특별시 종로구 자하문로 275
