No,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분, 카메라대수 ,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도 ,경도,데이터기준일자,지번주소,도로명주소
1,서울특별시동작구청,서울특별시 동작구 장승배기로23길 10,,생활방범,3,,,,,02-820-2906,37.510141,126.939452,2020-03-24,서울특별시 동작구 노량진동 234-5,서울특별시 동작구 장승배기로23길 10
2,서울특별시동작구청,서울특별시 동작구 노량진로8길 40 마당쇠숯불갈비,,생활방범,3,,,,,02-820-2906,37.512401,126.937588,2020-03-24,서울특별시 동작구 노량진동 258-6,서울특별시 동작구 노량진로8길 40
3,서울특별시동작구청,서울특별시 동작구 장승배기로18길 27,,생활방범,3,,,,,02-820-2906,37.507402,126.941599,2020-03-24,서울특별시 동작구 노량진동 227-5,서울특별시 동작구 장승배기로18길 25
4,서울특별시동작구청,서울특별시 동작구 만양로14다길 7,,생활방범,1,,,,,02-820-2906,37.511299,126.94531,2020-03-24,서울특별시 동작구 노량진동 211-46,서울특별시 동작구 만양로 84
5,서울특별시동작구청,서울특별시 동작구 장승배기로22길 44(노량진2동 226-15),,생활방범,1,,,,,02-820-2906,37.508595,126.941561,2020-03-24,서울특별시 동작구 노량진동 226-1,서울특별시 동작구 장승배기로22길 36
6,서울특별시동작구청,서울특별시 동작구 장승배기로19다길 24(노량진2동 302-27),,생활방범,1,,,,,02-820-2906,37.509271,126.937572,2020-03-24,서울특별시 동작구 노량진동 302-27,서울특별시 동작구 장승배기로19다길 24
7,서울특별시동작구청,서울특별시 동작구 장승배기로24가길 39(노량진1동 232-52),,생활방범,1,,,,,02-820-2906,37.511253,126.942072,2020-03-24,서울특별시 동작구 노량진동 232-11,서울특별시 동작구 장승배기로24가길 39
8,서울특별시동작구청,서울특별시 동작구 노량진로26길 65(노량진1동 485-2),,생활방범,1,,,,,02-820-2906,37.5097,126.955522,2020-03-24,서울특별시 동작구 본동 485-2,서울특별시 동작구 노량진로26길 65
9,서울특별시동작구청,서울특별시 동작구 노량진로18길 20(노량진1동 408-1),,생활방범,3,,,,,02-820-2906,37.511993,126.95097,2020-03-24,서울특별시 동작구 본동 344-12,서울특별시 동작구 노량진로18길 21-1
10,서울특별시동작구청,서울특별시 동작구 상도로60길 35(상도1동 126-65) 동녘빌라,,생활방범,3,,,,,02-820-2906,37.492257,126.954596,2020-03-24,서울특별시 동작구 상도동 126-65,서울특별시 동작구 상도로60길 35
11,서울특별시동작구청,서울특별시 동작구 상도로67길 20(상도1동 504-13) 할인마트,,생활방범,4,,,,,02-820-2906,37.494556,126.956525,2020-03-24,서울특별시 동작구 상도동 504-13,서울특별시 동작구 상도로67길 21
12,서울특별시동작구청,서울특별시 동작구 상도로41가길 6(상도1동 465),,생활방범,4,,,,,02-820-2906,37.502511,126.950148,2020-03-24,서울특별시 동작구 상도1동 465-1,서울특별시 동작구 상도로41가길 3
13,서울특별시동작구청,서울특별시 동작구 상도로 41길 50(상도1동 440),,생활방범,4,,,,,02-820-2906,37.502509,126.95185,2020-03-24,서울특별시 동작구 상도1동 465-1,서울특별시 동작구 상도로41길 50
14,서울특별시동작구청,서울특별시 동작구 상도로47다길 32(상도1동 319-1),,생활방범,4,,,,,02-820-2906,37.501578,126.953161,2020-03-24,서울특별시 동작구 상도1동 319-1,서울특별시 동작구 상도로47다길 32
15,서울특별시동작구청,서울특별시 동작구 상도로56길 6(상도1동 473-7),,생활방범,4,,,,,02-820-2906,37.496134,126.952592,2020-03-24,서울특별시 동작구 상도동 473-7,서울특별시 동작구 상도로56길 6
16,서울특별시동작구청,서울특별시 동작구 상도로15마길 22(상도2동 356-85) 서진파크빌라,,생활방범,4,,,,,02-820-2906,37.503376,126.933614,2020-03-24,서울특별시 동작구 상도동 356-13,서울특별시 동작구 상도로15마길 22
17,서울특별시동작구청,서울특별시 동작구 상도로15아길 18(상도2동 361-52) 에비앙 엘리지,,생활방범,3,,,,,02-820-2906,37.504266,126.93464,2020-03-24,서울특별시 동작구 상도동 361-16,서울특별시 동작구 상도로15아길 15
18,서울특별시동작구청,서울특별시 동작구 상도로26가길 8(상도2동 183-22) 오륙도해물탕,,생활방범,3,,,,,02-820-2906,37.503636,126.938269,2020-03-24,서울특별시 동작구 상도동 183-11,서울특별시 동작구 상도로26가길 6-1
19,서울특별시동작구청,서울특별시 동작구 만양로1길 18(상도2동 22-43),,생활방범,3,,,,,02-820-2906,37.506361,126.946482,2020-03-24,서울특별시 동작구 상도동 22-52,서울특별시 동작구 만양로1길 15
20,서울특별시동작구청,서울특별시 동작구 대방동2길 38,,생활방범,3,,,,,02-820-2906,37.502696,126.927738,2020-03-24,서울특별시 동작구 대방동 392-25,서울특별시 동작구 대방동2길 35
21,서울특별시동작구청,서울특별시 동작구 국사봉10길 20(상도3동 299-109) 그린빌라,,생활방범,3,,,,,02-820-2906,37.495284,126.93111,2020-03-24,서울특별시 동작구 상도동 299-3,서울특별시 동작구 국사봉10길 20
22,서울특별시동작구청,서울특별시 동작구 성대로6가길 41(상도3동 256-219),,생활방범,4,,,,,02-820-2906,37.496948,126.933476,2020-03-24,서울특별시 동작구 상도동 256-186,서울특별시 동작구 성대로6가길 47
23,서울특별시동작구청,서울특별시 동작구 국사봉5길 1(상도3동 304-6),,생활방범,4,,,,,02-820-2906,37.49776,126.930216,2020-03-24,서울특별시 동작구 상도동 320-9,서울특별시 동작구 국사봉5길 1
24,서울특별시동작구청,서울특별시 동작구 성대로21가길 29(상도4동 244-47) 한아름슈퍼,,생활방범,3,,,,,02-820-2906,37.499267,126.935076,2020-03-24,서울특별시 동작구 상도동 244-47,서울특별시 동작구 성대로21가길 29
25,서울특별시동작구청,서울특별시 동작구 성대로10길 55(상도4동 279-52) 행복슈퍼,,생활방범,4,,,,,02-820-2906,37.495933,126.93643,2020-03-24,서울특별시 동작구 상도동 279-20,서울특별시 동작구 성대로10길 55
26,서울특별시동작구청,서울특별시 동작구 성대로31길 33(상도4동 202-221),,생활방범,4,,,,,02-820-2906,37.500228,126.938806,2020-03-24,서울특별시 동작구 상도동 202-221,서울특별시 동작구 성대로31길 33
27,서울특별시동작구청,서울특별시 동작구 양녕로28길 54(상도4동 211-132) 구립우리어린이집,,생활방범,5,,,,,02-820-2906,37.498074,126.946702,2020-03-24,서울특별시 동작구 상도동 211-132,서울특별시 동작구 양녕로28길 54
28,서울특별시동작구청,서울특별시 동작구 서달로8가길2(흑석동 93-147),,생활방범,3,,,,,02-820-2906,37.505868,126.961821,2020-03-24,서울특별시 동작구 흑석동 93-146,서울특별시 동작구 서달로8가길 2
29,서울특별시동작구청,서울특별시 동작구 서달로10길 64(흑석동 84-10),,생활방범,1,,,,,02-820-2906,37.504228,126.962923,2020-03-24,서울특별시 동작구 흑석동 90-25,서울특별시 동작구 서달로10길 64
30,서울특별시동작구청,서울특별시 동작구 흑석로3길 38-1(흑석동 200-12),,생활방범,3,,,,,02-820-2906,37.508554,126.955996,2020-03-24,서울특별시 동작구 흑석동 204-170,서울특별시 동작구 흑석로3길 35-1
31,서울특별시동작구청,서울특별시 동작구 서달로6길 19(흑석동 79-24),,생활방범,3,,,,,02-820-2906,37.503286,126.961867,2020-03-24,서울특별시 동작구 흑석동 79-27,서울특별시 동작구 서달로6길 19
32,서울특별시동작구청,서울특별시 동작구 대방동3길 39,,생활방범,4,,,,,02-820-2906,37.50129,126.925405,2020-03-24,서울특별시 동작구 대방동 391-601,서울특별시 동작구 대방동3길 39
33,서울특별시동작구청,서울특별시 동작구 대방동2길 22,,생활방범,2,,,,,02-820-2906,37.501632,126.928497,2020-03-24,서울특별시 동작구 대방동 393-25,서울특별시 동작구 대방동2길 22
34,서울특별시동작구청,서울특별시 동작구 등용로4길 43(대방동 13-4),,생활방범,4,,,,,02-820-2906,37.50754,126.934881,2020-03-24,서울특별시 동작구 노량진동 294-545,서울특별시 동작구 등용로4길 48
35,서울특별시동작구청,서울특별시 동작구 여의대방로62길 14(대방동 101-5)  주정차-24 같이,,생활방범,4,,,,,02-820-2906,37.513961,126.927954,2020-03-24,서울특별시 동작구 대방동 87-6,서울특별시 동작구 여의대방로62길 12
36,서울특별시동작구청,서울특별시 동작구 대방동 9길 14(대방동 391-249),,생활방범,3,,,,,02-820-2906,37.502113,126.926474,2020-03-24,서울특별시 동작구 대방동 391-222,서울특별시 동작구 대방동7길 11
37,서울특별시동작구청,서울특별시 동작구 여의대방로24라길 13(대방동 415-47),,생활방범,3,,,,,02-820-2906,37.498486,126.92241,2020-03-24,서울특별시 동작구 대방동 466-11,서울특별시 동작구 여의대방로24라길 13
38,서울특별시동작구청,서울특별시 동작구 신대방2나길 1(신대방1동 621-1) 경농상회 앞,,생활방범,3,,,,,02-820-2906,37.489637,126.971126,2020-03-24,서울특별시 동작구 사당동 1133-11,서울특별시 동작구 사당로23바길 9
39,서울특별시동작구청,서울특별시 동작구 신대방1길 72(신대방1동 696-4),,생활방범,3,,,,,02-820-2906,37.485881,126.907861,2020-03-24,서울특별시 동작구 신대방동 702-4,서울특별시 동작구 신대방1길 71
40,서울특별시동작구청,서울특별시 동작구 신대방1동 631-38 문창초등학교 옆,,생활방범,3,,,,,02-820-2906,37.488202,126.913845,2020-03-24,서울특별시 동작구 신대방동 459-5,서울특별시 동작구 신대방2길 14
41,서울특별시동작구청,서울특별시 동작구 신대방1동 459-5 문창초등학교 옆,,생활방범,2,,,,,02-820-2906,37.489168,126.915635,2020-03-24,서울특별시 동작구 신대방동 459-5,서울특별시 동작구 신대방2길 14-19
