No,,법정동코드,법정동명,지번,지목명,용도지역명1,용도지역명2,토지면적,데이터기준일자,주소,좌표정보(X),좌표정보(Y),지번주소,도로명주소
1,0,1159010400,서울특별시 동작구 본동,02월 02일,도로,제1종일반주거지역,자연녹지지역,1954,2019-08-08,서울특별시 동작구 본동 2-2,37.51238196,126.9590459,서울특별시 동작구 본동 2-2,서울특별시 동작구 현충로 52
2,1,1159010400,서울특별시 동작구 본동,03월 07일,도로,제1종일반주거지역,자연녹지지역,1537,2019-08-08,서울특별시 동작구 본동 3-7,37.51253129,126.958374,서울특별시 동작구 본동 3-7,서울특별시 동작구 현충로 16
3,2,1159010400,서울특별시 동작구 본동,05월 20일,도로,제1종일반주거지역,자연녹지지역,1458,2019-08-08,서울특별시 동작구 본동 5-20,37.51322928,126.9573003,서울특별시 동작구 본동 5-20,서울특별시 동작구 노량진로32길 23
4,3,1159010400,서울특별시 동작구 본동,10-40,도로,제1종일반주거지역,자연녹지지역,2061,2019-08-08,서울특별시 동작구 본동 10-40,37.51336898,126.9561879,서울특별시 동작구 본동 10-40,서울특별시 동작구 현충로 2
5,4,1159010400,서울특별시 동작구 본동,475-1,도로,제1종일반주거지역,자연녹지지역,28236,2019-08-08,서울특별시 동작구 본동 475-1,37.51399235,126.956113,서울특별시 동작구 본동 475-1,서울특별시 동작구 현충로 2
6,5,1159010400,서울특별시 동작구 본동,02월 03일,수도용지,제1종일반주거지역,자연녹지지역,826,2019-08-08,서울특별시 동작구 본동 2-3,37.5121707,126.9576425,서울특별시 동작구 본동 7-1,서울특별시 동작구 현충로 16
7,6,1159010400,서울특별시 동작구 본동,03월 07일,도로,제1종일반주거지역,자연녹지지역,883,2019-08-08,서울특별시 동작구 본동 3-7,37.51253129,126.958374,서울특별시 동작구 본동 3-7,서울특별시 동작구 현충로 16
8,7,1159010500,서울특별시 동작구 흑석동,01월 01일,대,제2종일반주거지역,자연녹지지역,940,2019-08-08,서울특별시 동작구 흑석동 1-1,37.50950664,126.9642197,서울특별시 동작구 흑석동 1-1,서울특별시 동작구 현충로 85-5
9,8,1159010500,서울특별시 동작구 흑석동,01월 03일,종교용지,제2종일반주거지역,자연녹지지역,3741,2019-08-08,서울특별시 동작구 흑석동 1-3,37.50965747,126.9639029,서울특별시 동작구 흑석동 1-3,서울특별시 동작구 현충로 75
10,9,1159010500,서울특별시 동작구 흑석동,01월 18일,종교용지,제2종일반주거지역,자연녹지지역,527,2019-08-08,서울특별시 동작구 흑석동 1-18,37.5095248,126.9640897,서울특별시 동작구 흑석동 1-18,서울특별시 동작구 현충로 85-5
11,10,1159010500,서울특별시 동작구 흑석동,01월 19일,종교용지,제2종일반주거지역,자연녹지지역,637,2019-08-08,서울특별시 동작구 흑석동 1-19,37.51004731,126.9638302,서울특별시 동작구 흑석동 1-19,서울특별시 동작구 현충로 75
12,11,1159010500,서울특별시 동작구 흑석동,114-1,대,제2종일반주거지역,자연녹지지역,72,2019-08-08,서울특별시 동작구 흑석동 114-1,37.50968289,126.9633675,서울특별시 동작구 흑석동 114-1,서울특별시 동작구 현충로 73
13,12,1159010500,서울특별시 동작구 흑석동,114-3,대,제2종일반주거지역,자연녹지지역,30,2019-08-08,서울특별시 동작구 흑석동 114-3,37.5096441,126.9632329,서울특별시 동작구 흑석동 115-1,서울특별시 동작구 흑석로 128-1
