tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,NE3W8B8rFWqzswlSDcUUNkfNAhlM-Y-5hH0fTiQDeA5ofu4,118승현희민지원,212,161,96,False,False,True,False
GRANDMASTER,RlpNMnvM0uIAqvp3T96ugOMuvD-iJZ0G_zZ27DinYgl9oqc,GALA1,294,108,98,False,False,False,False
GRANDMASTER,223ao66j3VOXofOi2eLbXDt_m79eP87pNQmiVlryW6PnGXI,gtqeti630,291,78,49,False,False,False,False
GRANDMASTER,zz1wa2Y-ZG5yautAw5uOt5gsY0BkL5KwPRZfjoI-8dIqiw,K tune,317,228,199,False,False,False,False
GRANDMASTER,3aiuFOez4TzcLt_QI7mbC7h_ZR6sFQzeE9JMV4_byYYM71I,ATM서폿,271,246,222,True,False,False,False
GRANDMASTER,GxPP94d4VKM2JQYwqG_A0Hzda1gk31iRE4_LDwFSyjUe09g,제주고 김승석,517,172,137,False,False,True,False
GRANDMASTER,YcQdYK6gpWeHablQ9O0WA4O9sOK4XFu-p7WgtixMK5-gwg,KT Kyuhyunji,422,88,60,False,False,False,False
GRANDMASTER,Pn_57YZvb4FIymAG1uURFj7oX0K_QEcjCmkbeENBlI3Fq8I,FA 엄준식,458,316,286,True,False,False,False
GRANDMASTER,DCoP-GPhzbSoGzcWDYGcoLa5GipmEsSkZ2IjCnDF8YGV68o,Goldguns,239,270,250,True,False,False,False
GRANDMASTER,2aBfh2FYIbIPNIkZGAf_eRK2QMnM2xiPCfnv5g2L_E_2yw,소나잔나,446,37,18,False,False,True,True
GRANDMASTER,Ip5rTbe7HqRN0ElxCBwmyjiZMrUSFqKh8dYYyhoNyX7apbs,개조형 파진포LV6,207,134,109,False,False,True,False
GRANDMASTER,QkM6rwcxZF3gNxkBYvukAFfYgJ7qIzb25-fPj4OG97RzZ6A,불꽃남자신동진,327,345,291,False,False,True,False
GRANDMASTER,qL3uGQJ9XTF_oXUYBVLf_7C_igJGLVib3mk5OZZ4tuv_UQ,Poison p,549,112,86,False,False,False,False
GRANDMASTER,n34NyZP4_LpEyqBYf88V9TH3M9sIzutdsRLYCvYnsSXXz0A,믄똥왁왁,227,185,197,False,False,True,False
GRANDMASTER,Y1KA0qA-YhiJy7CeImA_rZdfteFArizFbDUm7j5vcZTgaAc,ES양충하,210,315,296,True,False,False,False
GRANDMASTER,a_nsWi-_o17v4pcr7cQ2w38O1_UEZuTAnvO18gIvC2G1U9I,vxznxncv,200,72,56,False,False,False,False
GRANDMASTER,fW1pl9NRmMzVDXCdUKEb0GOr8j4fFTULE0rnbAV0s0TrkVc,앨리먼트 미스틱,540,257,232,False,False,True,False
GRANDMASTER,Ophsjdta3CVnp-zJgemFLhhQwZh4Mzj07eJpKG9ncFaY6EA,쿵야 둔갑술,609,193,165,False,False,True,False
GRANDMASTER,_IIHmdu7C_Fu6vQfBqZQ8zJCvy_OgTz-RVypuj7LAngIKho,bulago,401,386,359,False,False,False,False
GRANDMASTER,W39hWsax4sXaaU5gZHEc0i4B0OGqnGHKzJYVmQKHH5qKUvo,MyMagicBurnYou,486,255,234,False,False,False,False
GRANDMASTER,ngyNxr-mhUGVfrhlXyMww-ctZogSORVTCCfyH3j9bze-Px0,OMG the  bug,236,346,312,False,False,True,False
GRANDMASTER,mR76o4H1uxB3eCr0Bhq6osvLUXuV5A5XLQnlyiImms2o7ns,SRB Gonee,543,149,115,False,False,True,False
GRANDMASTER,9eAt3vgg7a2VAn-RZHe5fMyhT0w_zr5tqH39CW0IBuetMpU,오현택의 개,296,169,151,False,False,False,False
GRANDMASTER,_axm9YQoTE0RgVI0v8ZHhpCLUcCiqEjTvWIZ58E3O6_6vpQ,금똥왁왁,418,105,83,False,False,False,False
GRANDMASTER,3JQuwbnLiD2XtrEirgX5PKdRmNf_kyY3pgUINTHzgEWUqQ,닉변한다데,376,318,286,False,False,True,False
GRANDMASTER,YIRcJDDqi_2D6bZoZR5gAP6V2aLTyti2-hBIL4JOiD58HAc,트위치 아라드,480,134,100,False,False,True,False
GRANDMASTER,ehFAqrw3W12ycp4JAb8cHu-E9v3JRKIZ3q6VTL5oOKx0-BA,jug242,303,95,84,True,False,False,False
GRANDMASTER,dt7tu-Csns8hVnnBEx3HGV0tpZ8_lr73ANj0p_Qz88vkeQ,급하게하지마세요,299,40,24,False,False,True,False
GRANDMASTER,N5iXcz5XCGr-WcFLgIyXq96W_toYpJd9z1QAXleXzwxEhCU,멀리멀리날아라,258,68,33,False,False,True,False
GRANDMASTER,DUJtBxWFkxjqtCp7UFlovkmJreEsVJqMhDL2dDrwLuoOSA,바 드 본 좌,239,205,198,True,False,False,False
GRANDMASTER,_qnXKNq6XOmbShEx2FKgIi72FbAND41Y__gvFLB4uBfdIR4,03 JGL,315,468,438,False,False,True,False
GRANDMASTER,4BKoNN23TamH4sqedrwEx53OzYEpJ0kv4R9kRvWrpmasVyo,GCA Star,238,235,221,False,False,False,False
GRANDMASTER,wKv1dzAc8Yx1wTtT-rVDkEq4R5awOUgGmvZg82TvBVg14d8,하니로아,269,229,208,False,False,True,True
GRANDMASTER,nAjlrR0_36OMpVgIwyg06lmOykFKQ70U-9O3CmfR2HYYzk4,내가 뭘 하는건지,621,323,311,False,False,True,True
GRANDMASTER,CZflheioBOHPuAVWpBNyDPCPuqShr84PoUFxQBX5CtCP74c,emulp1,436,347,268,True,False,False,False
GRANDMASTER,ESjhuBp4HO5IcKq9Dk8ibBQuNTAt9gKuxwvH6LtHDi9GH9U,zhyscxlg,516,351,307,False,False,True,False
GRANDMASTER,eM_H1iUivUvdRkzBLKpoPU_eqUcs-Kh1NUFheonX7pQ6AJI,Challenger Kat,275,232,142,False,False,True,False
GRANDMASTER,V7c-J2WUJHgRHfCin0RuMvLmzEDJyHtY9R4e9Miy7NmE6zs,dodge game,552,384,352,False,False,True,True
GRANDMASTER,S7V88gzTh-lWioEQp9t3rSi7re_jMwmbpGuobX5hTgMDGqU,FaZe broky,512,294,275,False,False,False,False
GRANDMASTER,RlsXbHGO6_69gsla9gflZsHGa-KziYcl8i43h8xISNM_vnI,Brion Doil,295,303,279,False,False,False,False
GRANDMASTER,zATkH5DaQvThOkgTB-Pfm0udZKkqOSrq42vtWQ0UuFN80A,mingkey00,447,118,89,False,False,False,False
GRANDMASTER,6GTLA_TSVs0-2sQJUzBsTT7UEe2CgDeFnhI2fGm8KQFY6ts,i am jo jo,217,434,403,False,False,False,False
GRANDMASTER,XNJM-bOtbtIa14FndAqwwHs96qbgnEAH6bM3xgD58CDWnAg,은 택,294,362,347,False,False,False,True
GRANDMASTER,k6ns-ghypxxZSE8vYqGk2qeEh_4nVg0OfhSUP0SnU7fS2mA,역시폭근,401,107,65,False,False,False,False
GRANDMASTER,Quv9VDOd2IRiEddFXfdwgMnuRM9IKTaKFxnlY7b7ZtMxPA,돈까스틱,259,205,185,False,False,False,False
GRANDMASTER,_N3JVBK8e0B7BLrNxw84w0WaFQZAF_Bk1Oa9HrtFoxRkKw,Awesome Ferris,442,166,136,False,False,False,True
GRANDMASTER,q5z2z185bG1Kc_PGFnpfYlWIBzulr6nHYu2kPUK1oW80qA,호성이,196,112,95,False,False,True,True
GRANDMASTER,pW_Dy_6J7HaJgDCwhlDYdRF4qZWP8G6IjHhYht7wEtfQG4Q,과거의 꿈,279,266,260,True,False,False,False
GRANDMASTER,kFDsHukSBv2pzPk3wGAZrJv0tStS172kPBRHMjS5jsRho0k,jiejiejie,345,398,382,False,False,True,True
